name,       lat,    lon,    f,                Fx,      pf,    W,      D0
B0531+21,   184.56,  -5.78,  29.940119760479, 1.54e+0, 0.700, 1.7e-3,  2.00
B1937+21,    57.51,  -0.29, 641.025641025641, 4.99e-5, 0.860, 2.1e-5,  3.60
B1821-24,     7.80,  -5.58, 487.804878048781, 1.93e-4, 0.980, 5.5e-5,  5.50
B1957+20,    59.20,  -4.70, 625,              8.31e-5, 0.600, 8.0e-5,  1.53
B1509-58,   320.32,  -1.16,  6.656460095,     1.62e-2, 0.646, 2.7e-3,  4.30
B0540-69,   279.72, -31.52,  19.853087155,    5.15e-3, 0.670, 2.5e-3, 47.30
J0218+4232, 139.51, -17.53, 471.698113207547, 6.65e-5, 0.730, 3.5e-4,  5.70
J0437-4715, 253.39, -41.96, 173.913043478261, 6.65e-5, 0.275, 2.9e-4,  0.18
B1823-13,   18.00,   -0.69,  9.857072449,     2.63e-3, 0.100, 1.8e-3,  4.12
J1124-5916, 292.04,   1.75,  7.390436775,     1.70e-3, 0.100, 2.5e-3,  4.80
